feature,importance_gain,importance_split
hour_cos,23370872.947291885,2824
tc_total_occupied,11195174.933474865,2141
hour_sin,9545275.860100018,2989
dow_sin,6850229.005404257,799
mov_0,6750468.628976583,1239
type_cnt_Signal,3896052.058668686,1015
mov_17,3629323.0334007633,339
tc_occ_DA,3273910.851760349,270
type_cnt_CB,3025584.0256489096,751
type_cnt_CC,2766882.2923565097,940
type_cnt_CA,2759431.65192875,1214
tc_occ_YV,2722304.868901584,294
type_cnt_Route,2696495.5563445706,991
mov_18,2257691.1129486207,169
type_cnt_Panel_Request,2256948.0228236644,1449
tc_occ_DM,1671816.3990016743,423
tc_occ_FD,1614900.7350319815,262
mov_5,1534364.433281913,297
current_berth,1321964.3791345358,264
prev_pr,1295506.0231072903,194
tc_occ_PR,1042921.4268507175,377
mov_11,971038.6001038551,47
type_cnt_TRTS,970051.7895316423,966
tc_occ_EC,901202.2074431784,430
mov_3,719657.1632537877,169
tc_occ_NG,673828.3672258877,517
dow_cos,483200.64473756775,418
tc_occ_FM,445573.6622317716,488
tc_occ_RK,389061.33978976565,224
mov_1,366959.8950126767,193
mov_7,272454.5484904093,149
mov_2,252847.73325517075,112
mov_6,231233.51225000757,164
tc_occ_DC,197621.33064454168,265
mov_10,187282.98656266276,69
mov_9,148939.3821402847,70
mov_4,113242.58874034882,31
prev_prev_pr,86498.00886011124,85
mov_8,56350.37788939476,64
mov_20,47271.940576553345,20
hc_first,45877.51034736633,26
mov_12,45121.88672542572,36
prev_type,26150.875732421875,16
mov_15,23991.01153046507,45
mov_13,7909.009854115546,25
mov_14,2322.3301877975464,9
type_cnt_Track,0.0,0
type_cnt_<UNK>,0.0,0
type_cnt_<PAD>,0.0,0
route_lock_count,0.0,0
mov_19,0.0,0
mov_16,0.0,0
mov_22,0.0,0
mov_21,0.0,0
